intervalo,movimiento,segundos,duracion
"(9150.0, 9300.0]",1.9982903163580246,310.0,05:10
"(9300.0, 9450.0]",6.770825520833333,315.0,05:15
"(9450.0, 9600.0]",20.31946479552469,320.0,05:20
"(9600.0, 9750.0]",7.625086998456791,325.0,05:25
"(9750.0, 9900.0]",17.469060956790123,330.0,05:30
"(9900.0, 10050.0]",10.551592399691359,335.0,05:35
"(10050.0, 10200.0]",32.51841097608025,340.0,05:40
"(10200.0, 10350.0]",13.581947337962962,345.0,05:45
"(10350.0, 10500.0]",9.767593653549381,350.0,05:50
"(10500.0, 10650.0]",19.037020736882717,355.0,05:55
"(10650.0, 10800.0]",5.030278356481482,360.0,06:00
"(10800.0, 10950.0]",6.342321566358025,365.0,06:05
"(10950.0, 11100.0]",5.326351851851852,370.0,06:10
"(11100.0, 11250.0]",1.6596659915123455,375.0,06:15
"(11250.0, 11400.0]",1.152899402006173,380.0,06:20
"(11400.0, 11550.0]",0.5906319444444444,385.0,06:25
"(11550.0, 11700.0]",7.883895929783951,390.0,06:30
"(11700.0, 11850.0]",12.244372974537036,395.0,06:35
"(11850.0, 12000.0]",3.12847550154321,400.0,06:40
"(12000.0, 12150.0]",3.640015142746914,405.0,06:45
"(12150.0, 12300.0]",5.285035686728395,410.0,06:50
"(12300.0, 12450.0]",5.511602334104938,415.0,06:55
"(12450.0, 12600.0]",11.710729070216049,420.0,07:00
"(12600.0, 12750.0]",17.026995370370372,425.0,07:05
"(12750.0, 12900.0]",6.9989350887345685,430.0,07:10
"(12900.0, 13050.0]",12.895608410493827,435.0,07:15
"(13050.0, 13200.0]",11.180449749228394,440.0,07:20
"(13200.0, 13350.0]",3.410992283950617,445.0,07:25
"(13350.0, 13500.0]",1.273530864197531,450.0,07:30
"(13500.0, 13650.0]",11.968580439814815,455.0,07:35
"(13650.0, 13800.0]",5.396770351080247,460.0,07:40
"(13800.0, 13950.0]",11.652301408179012,465.0,07:45
"(13950.0, 14100.0]",2.955222415123457,470.0,07:50
"(14100.0, 14250.0]",3.1318695987654324,475.0,07:55
"(14250.0, 14400.0]",4.633655960648148,480.0,08:00
"(14400.0, 14550.0]",7.241549093364196,485.0,08:05
"(14550.0, 14700.0]",7.32396662808642,490.0,08:10
"(14700.0, 14850.0]",13.498687017746914,495.0,08:15
"(14850.0, 15000.0]",7.19624363425926,500.0,08:20
"(15000.0, 15150.0]",6.026937789351852,505.0,08:25
"(15150.0, 15300.0]",6.8430722415123455,510.0,08:30
"(15300.0, 15450.0]",3.6188110532407403,515.0,08:35
"(15450.0, 15600.0]",3.2558656442901235,520.0,08:40
"(15600.0, 15750.0]",2.9378666087962966,525.0,08:45
"(15750.0, 15900.0]",3.3316409143518517,530.0,08:50
"(15900.0, 16050.0]",18.22986014660494,535.0,08:55
"(16050.0, 16200.0]",16.640474922839505,540.0,09:00
"(16200.0, 16350.0]",16.446898244598767,545.0,09:05
"(16350.0, 16500.0]",16.606688078703705,550.0,09:10
"(16500.0, 16650.0]",22.67719328703704,555.0,09:15
"(16650.0, 16800.0]",4.719567611882716,560.0,09:20
"(16800.0, 16950.0]",4.955342592592593,565.0,09:25
"(16950.0, 17100.0]",4.206616222993827,570.0,09:30
"(17100.0, 17250.0]",12.71404224537037,575.0,09:35
"(17250.0, 17400.0]",4.68033381558642,580.0,09:40
"(17400.0, 17550.0]",6.529585551697531,585.0,09:45
"(17550.0, 17700.0]",5.106274980709876,590.0,09:50
"(17700.0, 17850.0]",12.629078317901236,595.0,09:55
"(17850.0, 18000.0]",13.14032282021605,600.0,10:00
"(18000.0, 18150.0]",30.858433449074074,605.0,10:05
"(18150.0, 18300.0]",33.3845222800926,610.0,10:10
"(18300.0, 18450.0]",16.76659104938272,615.0,10:15
"(18450.0, 18600.0]",28.477967785493828,620.0,10:20
"(18600.0, 18750.0]",17.866624517746914,625.0,10:25
"(18750.0, 18900.0]",21.598411458333334,630.0,10:30
"(18900.0, 19050.0]",5.52122550154321,635.0,10:35
"(19050.0, 19200.0]",3.3069115547839507,640.0,10:40
"(19200.0, 19350.0]",4.810103105709876,645.0,10:45
"(19350.0, 19500.0]",5.172453317901234,650.0,10:50
"(19500.0, 19650.0]",3.751808834876543,655.0,10:55
"(19650.0, 19800.0]",2.748679301697531,660.0,11:00
"(19800.0, 19950.0]",3.010505208333333,665.0,11:05
"(19950.0, 20100.0]",4.814415412808643,670.0,11:10
"(20100.0, 20250.0]",5.195866030092592,675.0,11:15
"(20250.0, 20400.0]",7.066184124228395,680.0,11:20
"(20400.0, 20550.0]",4.588299672067901,685.0,11:25
"(20550.0, 20700.0]",7.003755690586419,690.0,11:30
"(20700.0, 20850.0]",18.113862364969137,695.0,11:35
"(20850.0, 21000.0]",6.5772012924382715,700.0,11:40
"(21000.0, 21150.0]",10.247071373456789,705.0,11:45
"(21150.0, 21300.0]",12.057551697530865,710.0,11:50
"(21300.0, 21450.0]",12.646034047067902,715.0,11:55
"(21450.0, 21600.0]",8.140158468364199,720.0,12:00
"(21600.0, 21750.0]",8.282130111882715,725.0,12:05
"(21750.0, 21900.0]",7.764746720679012,730.0,12:10
"(21900.0, 22050.0]",6.660810860339506,735.0,12:15
"(22050.0, 22200.0]",7.585605613425926,740.0,12:20
"(22200.0, 22350.0]",24.895345679012348,745.0,12:25
"(22350.0, 22500.0]",4.644667920524691,750.0,12:30
"(22500.0, 22650.0]",8.141558738425926,755.0,12:35
"(22650.0, 22800.0]",6.550296103395062,760.0,12:40
"(22800.0, 22950.0]",6.272680266203704,765.0,12:45
"(22950.0, 23100.0]",3.0019576581790126,770.0,12:50
"(23100.0, 23250.0]",4.112965374228395,775.0,12:55
"(23250.0, 23400.0]",5.031804880401235,780.0,13:00
"(23400.0, 23550.0]",6.349763985339506,785.0,13:05
"(23550.0, 23700.0]",8.310122395833334,790.0,13:10
"(23700.0, 23850.0]",8.744993152006172,795.0,13:15
"(23850.0, 24000.0]",5.8330725308641975,800.0,13:20
"(24000.0, 24150.0]",5.962605709876543,805.0,13:25
"(24150.0, 24300.0]",2.908370756172839,810.0,13:30
"(24300.0, 24450.0]",12.558395833333334,815.0,13:35
"(24450.0, 24600.0]",3.995601755401234,820.0,13:40
"(24600.0, 24750.0]",7.8508600501543215,825.0,13:45
"(24750.0, 24900.0]",8.353373360339505,830.0,13:50
"(24900.0, 25050.0]",8.172823784722222,835.0,13:55
"(25050.0, 25200.0]",4.035570119598765,840.0,14:00
"(25200.0, 25350.0]",5.008229841820988,845.0,14:05
"(25350.0, 25500.0]",3.4266510416666667,850.0,14:10
"(25500.0, 25650.0]",13.282379726080247,855.0,14:15
"(25650.0, 25800.0]",20.336974729938273,860.0,14:20
"(25800.0, 25950.0]",11.66243614969136,865.0,14:25
"(25950.0, 26100.0]",2.170582561728395,870.0,14:30
"(26100.0, 26250.0]",4.187784722222222,875.0,14:35
"(26250.0, 26400.0]",7.822443094135803,880.0,14:40
"(26400.0, 26550.0]",4.952810956790123,885.0,14:45
"(26550.0, 26700.0]",4.9088155864197525,890.0,14:50
"(26700.0, 26850.0]",14.391482156635803,895.0,14:55
"(26850.0, 27000.0]",9.524418885030864,900.0,15:00
"(27000.0, 27150.0]",21.020586902006173,905.0,15:05
"(27150.0, 27300.0]",8.927441454475309,910.0,15:10
"(27300.0, 27450.0]",7.554766878858025,915.0,15:15
"(27450.0, 27600.0]",4.617777488425927,920.0,15:20
"(27600.0, 27750.0]",8.439298128858026,925.0,15:25
"(27750.0, 27900.0]",8.239346450617285,930.0,15:30
"(27900.0, 28050.0]",3.123912326388889,935.0,15:35
"(28050.0, 28200.0]",2.6931899112654323,940.0,15:40
"(28200.0, 28350.0]",7.2057372685185195,945.0,15:45
"(28350.0, 28500.0]",33.09046392746914,950.0,15:50
"(28500.0, 28650.0]",34.92851350308642,955.0,15:55
"(28650.0, 28800.0]",20.86723109567901,960.0,16:00
"(28800.0, 28950.0]",23.359090374228398,965.0,16:05
"(28950.0, 29100.0]",8.484506847993828,970.0,16:10
"(29100.0, 29250.0]",21.17154716435185,975.0,16:15
"(29250.0, 29400.0]",7.100889178240741,980.0,16:20
"(29400.0, 29550.0]",3.9139991319444447,985.0,16:25
"(29550.0, 29700.0]",2.3158728780864197,990.0,16:30
"(29700.0, 29850.0]",6.66462962962963,995.0,16:35
"(29850.0, 30000.0]",12.109035397376545,1000.0,16:40
"(30000.0, 30150.0]",9.716455922067901,1005.0,16:45
"(30150.0, 30300.0]",5.338454185956791,1010.0,16:50
"(30300.0, 30450.0]",17.202519386574075,1015.0,16:55
"(30450.0, 30600.0]",14.489187885802469,1020.0,17:00
"(30600.0, 30750.0]",15.77269608410494,1025.0,17:05
"(30750.0, 30900.0]",29.905707079475313,1030.0,17:10
"(30900.0, 31050.0]",30.071048804012346,1035.0,17:15
"(31050.0, 31200.0]",21.814935185185185,1040.0,17:20
"(31200.0, 31350.0]",18.21340451388889,1045.0,17:25
"(31350.0, 31500.0]",26.304463348765434,1050.0,17:30
"(31500.0, 31650.0]",13.953384548611112,1055.0,17:35
"(31650.0, 31800.0]",12.724565586419754,1060.0,17:40
"(31800.0, 31950.0]",16.66728337191358,1065.0,17:45
"(31950.0, 32100.0]",32.95581336805556,1070.0,17:50
"(32100.0, 32250.0]",33.590822723765434,1075.0,17:55
"(32250.0, 32400.0]",22.132935860339504,1080.0,18:00
"(32400.0, 32550.0]",24.18797646604938,1085.0,18:05
"(32550.0, 32700.0]",23.201173032407407,1090.0,18:10
