0,Nivel de ruido (dB),Duración (MM:SS)
1270.0,2.9991699029950687,21:10
1275.0,2.75056422139343,21:15
1280.0,2.5325496835185035,21:20
1285.0,2.873125297358175,21:25
1290.0,2.288597182098105,21:30
1295.0,2.366935509547513,21:35
1300.0,2.395664064186607,21:40
1305.0,2.455407601631852,21:45
1310.0,2.3002966088296386,21:50
1315.0,2.2285426484487965,21:55
1320.0,2.015041329008527,22:00
1325.0,1.4950267999485198,22:05
1330.0,1.7649404953102878,22:10
1335.0,1.904501014848727,22:15
1340.0,2.382634490641482,22:20
1345.0,2.131406966736025,22:25
1350.0,1.1001445715609217,22:30
1355.0,3.0455621394939,22:35
1360.0,1.4733507342991294,22:40
1365.0,2.215894082161656,22:45
1370.0,2.060365237205729,22:50
1375.0,1.5981599462928844,22:55
1380.0,2.4078435479461917,23:00
1385.0,2.6779386264285887,23:05
1390.0,4.3842103290534515,23:10
1395.0,4.488319656980454,23:15
1400.0,3.7899852354238934,23:20
1405.0,3.68517880229164,23:25
1410.0,2.864124165739507,23:30
1415.0,2.579923962589528,23:35
1420.0,2.663480107783433,23:40
1425.0,2.602963263255269,23:45
1430.0,1.6923098278466981,23:50
1435.0,2.015249347084612,23:55
1440.0,2.3225069727731067,24:00
1445.0,2.6056869389450648,24:05
1450.0,1.5513925912024775,24:10
1455.0,1.8162522371555758,24:15
1460.0,2.214945528250575,24:20
1465.0,2.5849483393004573,24:25
1470.0,4.237454768248972,24:30
1475.0,3.5369390072088573,24:35
1480.0,3.9380811684965837,24:40
1485.0,4.156592176566759,24:45
1490.0,4.231961223638649,24:50
1495.0,3.9599516599090996,24:55
1500.0,3.0917734064759976,25:00
1505.0,3.256248444907428,25:05
1510.0,2.9507691781989864,25:10
1515.0,2.514032707741451,25:15
1520.0,3.059114825979003,25:20
1525.0,3.5058993428741743,25:25
1530.0,2.1629573379989124,25:30
1535.0,2.8747909441107398,25:35
1540.0,2.788424035053349,25:40
1545.0,3.1138837850560366,25:45
1550.0,2.807101163458497,25:50
1555.0,2.8456478346866927,25:55
1560.0,1.7308429011273885,26:00
1565.0,2.320710499889473,26:05
1570.0,2.8345823271055144,26:10
1575.0,2.4488087361320163,26:15
1580.0,2.2659829692318074,26:20
1585.0,2.3124512598501434,26:25
1590.0,3.021407994889542,26:30
1595.0,1.9547360606138566,26:35
1600.0,0.3874738748787683,26:40
1605.0,-0.921678586730809,26:45
1610.0,2.0073388775587104,26:50
1615.0,1.8101513043328796,26:55
1620.0,2.4237925662225885,27:00
1625.0,3.5872914101629947,27:05
1630.0,3.128957380041215,27:10
1635.0,3.105360830150273,27:15
