,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,Duration
213,NA,OOK,NA,NA,1.3K,NA,213
214,NA,NA,NA,NA,7.3K,NA,214
215,NA,OOK,NA,NA,7.3K,NA,215
216,NA,NA,NA,NA,NA,NA,216
217,NA,NA,NA,NA,NA,NA,217
218,NA,NA,1,NA,1.4K,NA,218
219,NA,NA,"7
1",NA,1.5K,NA,219
220,NA,OUR,NA,NA,1.5K,NA,220
221,NA,NA,NA,NA,NA,NA,221
222,NA,NA,1,NA,7.5K,NA,222
223,NA,NA,1,NA,1.5K,NA,223
224,NA,NA,1,NA,15K,NA,224
225,NA,NA,1,NA,7.6K,NA,225
226,NA,NA,NA,NA,A,NA,226
227,NA,NA,NA,NA,1.6K,NA,227
228,NA,NA,NA,NA,1.8K,NA,228
229,NA,NA,NA,NA,1K,NA,229
230,NA,OAR,NA,NA,NA,NA,230
231,NA,NA,NA,NA,1K,NA,231
232,NA,NA,1,NA,1K,NA,232
233,NA,NA,NA,NA,11K,NA,233
234,NA,NA,NA,NA,7.8K,NA,234
235,NA,NA,NA,NA,7.8K,NA,235
236,NA,NA,NA,NA,7.8K,NA,236
237,NA,NA,NA,NA,NA,NA,237
238,NA,NA,NA,NA,NA,NA,238
239,NA,NA,1,NA,NA,NA,239
240,NA,NA,1,NA,15k,NA,240
241,NA,mig,NA,NA,NA,0,241
242,NA,mi,NA,NA,NA,NA,242
243,NA,NA,1,NA,NA,NA,243
244,NA,NA,NA,NA,NA,NA,244
245,NA,NA,1,NA,NA,NA,245
246,NA,NA,1,NA,NA,NA,246
247,NA,NA,1,NA,NA,NA,247
248,NA,NA,NA,NA,NA,NA,248
249,7,NA,1,NA,NA,NA,249
250,-,BOR,NA,NA,8.2K,NA,250
251,NA,NA,NA,NA,8.2K,NA,251
252,NA,NA,NA,NA,NA,NA,252
253,NA,NA,NA,NA,NA,NA,253
254,NA,NA,NA,NA,NA,NA,254
255,NA,NA,NA,NA,NA,NA,255
256,NA,NA,NA,NA,8.3K,NA,256
257,NA,NA,NA,NA,8.4K,NA,257
258,NA,NA,NA,NA,NA,NA,258
259,NA,NA,1,NA,8.4K,NA,259
260,NA,NA,NA,NA,5.4K,NA,260
261,NA,NA,1,NA,6.5K,NA,261
262,NA,NA,NA,NA,8.5K,NA,262
263,NA,oak,NA,NA,6.5K,NA,263
264,NA,Sah,NA,NA,5.5K,NA,264
265,NA,Oak,NA,NA,NA,NA,265
266,NA,NA,NA,NA,NA,NA,266
267,NA,NA,1,NA,NA,NA,267
268,NA,NA,NA,NA,NA,NA,268
269,NA,NA,NA,NA,8.1K,NA,269
270,NA,OAR,NA,NA,NA,NA,270
271,7,NA,1,NA,8.1K,NA,271
272,NA,NA,NA,NA,NA,NA,272
273,NA,NA,1,NA,JK.,4.,273
274,NA,NA,NA,NA,BK,NA,274
275,NA,NA,NA,NA,BK,NA,275
276,NA,NA,NA,NA,NA,NA,276
277,NA,SOR,NA,NA,NA,NA,277
278,NA,SOR,NA,NA,NA,NA,278
279,NA,NA,NA,NA,NA,NA,279
280,NA,NA,NA,NA,NA,NA,280
281,NA,NA,NA,NA,NA,NA,281
282,NA,NA,NA,NA,NA,NA,282
283,NA,NA,1,NA,NA,NA,283
284,NA,S.GR,NA,NA,5.1K,NA,284
285,NA,NA,1,NA,9.1K,NA,285
286,NA,NA,1,NA,9.1K,4,286
287,NA,OSA,NA,NA,9.1K,NA,287
288,NA,NA,1,NA,9.1K,NA,288
289,NA,NA,NA,NA,9.2K,.,289
290,NA,OSA,NA,NA,5.2K,NA,290
291,NA,NA,1,NA,9.2K,NA,291
292,NA,NA,NA,NA,9.3K,.,292
293,NA,NA,1,NA,9.3K,NA,293
294,NA,NA,NA,NA,9.3K,NA,294
295,1,NA,NA,NA,8.3K,NA,295
296,NA,NA,NA,NA,9.4K,NA,296
297,NA,NA,1,NA,9.4K,NA,297
298,NA,NA,1,NA,5.4K,NA,298
