input_text,number
['PAYMONEYWUBBY'],1287.0
['GOTHAMCHESS'],2220.0
['RIOTGAMESJP'],933.0
['ADOLFZ'],1145.0
['ELOTRIX'],1948.0
['FORTNITE'],6363.0
['ZERATOR'],1798.0
['MAZELLOVVV'],2429.0
['AMANDRAKARP'],283.0
['KANDIDLYKAYLA'],257.0
['GORGC'],1504.0
['COHHCARNAGE'],829.0
['WORLDOFTANKS'],398.0
['TECHLAND'],45.0
['BRUNABLINCE'],504.0
['VOVO'],473.0
['SILVERNAME'],1528.0
['ELCHIRINGUITOTV'],452.0
['겨우디 (WINTER_28270)'],0.0
['NEYMARJR'],1248.0
['AGURIN'],765.0
['もこうやで (MOKOULISZT1)'],0.0
['POSTY'],337.0
['DRB7H'],1329.0
['SUPERBUSS_'],713.0
['TIFFAE'],158.0
['AWSONAIR'],570.0
['しゃるる (SYARURU3)'],0.0
['TFUE'],7621.0
['CDAWGVA'],1793.0
['DWPRESENTS'],1113.0
['JYNXZI'],985.0
['らっだぁ (RADERADERADER)'],0.0
['XGAMES'],9.0
['JAKENBAKELIVE'],1230.0
['KARQ'],399.0
['ASPASZIN'],533.0
['REZO'],261.0
['TIOOROCHITWITCH'],1699.0
['RRAENEE'],2322.0
['FORMAL'],376.0
['HITCHARIIDE'],277.0
['SYMFUHNY'],3522.0
['ESFANDTV'],1518.0
['EKATZE007'],973.0
['MCKYTV'],2251.0
['아이리_칸나 (AIRIKANNA_STELLIVE)'],0.0
['CHRISTIANVIERIOFFICIAL'],1169.0
['ROOTTHEGAMER'],391.0
['MARKIPLIER'],3151.0
['SNIKWINS'],53.0
['PAULETA_TWITCH'],1377.0
['WATCHMEFOREVER'],0.0
['SHAHZAM'],1613.0
['TUBBO'],3272.0
['GAMERGIRL'],581.0
['CHOWH1'],955.0
['SNOPEY_'],361.0
['VYSOTZKY'],1615.0
['STROGO'],782.0
['ARTHARS'],589.0
['GENSYXA'],1138.0
['SHOTZZY'],692.0
['DYRUS'],976.0
['M0NESYOF'],1161.0
['AXOZER'],2351.0
['HONEYPUU'],2251.0
['DIZZYKITTEN'],496.0
['INFINITEMYSTERY'],4.0
['징버거 (JINGBURGER)'],0.0
['PERXITAA'],2831.0
['JEANMASSIET'],517.0
['KARMA'],365.0
['ZENTREYA'],728.0
['RAINBOW6BRAVO'],340.0
['MLODZIUTKI7'],861.0
['SIDNEYEWEKA'],559.0
['TVANDER'],770.0
['NOCTAQ'],104.0
['ESB_DOTA2'],60.0
['RANBOOLIVE'],3122.0
['QUESADACID'],296.0
['눈쟁이 (EYEJOKER7)'],0.0
['BUDDHA'],1286.0
['MODY_ALASMR'],552.0
['QUIN69'],1378.0
['BETBOOM_RU2'],80.0
['ZERKAA'],2662.0
['WARHAMMER'],467.0
['PONCE'],1755.0
['AVAGG'],612.0
['KYEDAE'],3526.0
['EINTRACHTSPANDAU'],178.0
['LESTREAM'],1019.0
['IEPINBALL'],516.0
['POLISPOL1'],1028.0
['叶ちゃんねる (KANAE_2434)'],0.0
['らいじん (ALFREA)'],0.0
['DOUBLELIFT'],1318.0
['ELWIND'],1607.0
['EGORKREED'],1479.0
['마젠타_ (MAGENTA62)'],0.0
['SAPNAPLIVE'],1163.0
['WILLNEFF'],481.0
['HONEYMAD'],1565.0
['KOI'],399.0
['LACOBRAAA'],1148.0
['POKIMANE'],7136.0
['TRAINWRECKSTV'],1240.0
['CROWN'],1936.0
['VINESAUCE'],769.0
['TWM_LOL'],8.0
['SUBROZA'],695.0
['SERGIOFFERRA'],198.0
['침착맨 (ZILIONER)'],0.0
['LUKISTEVE'],1290.0
['BISTECONEE'],475.0
['AROYITT'],2105.0
['MCH_AGG'],536.0
['ML7SUPPORT'],709.0
['SHADOWKEKW'],1095.0
['KOMANCHE'],1167.0
['FOLAGORLIVES'],1470.0
['ERAY'],2653.0
['YOMAX'],348.0
['STANISLAW89'],63.0
['SHXTOU'],1266.0
['TOPSONOUS'],749.0
['TEAMHERETICS'],265.0
['VICKYPALAMI'],781.0
['CZECHCLOUD'],713.0
['SKAIN'],658.0
['NADIA'],1463.0
['ELAJJAZ'],1449.0
['1PVCS'],361.0
['MASL_SOCCER'],306.0
['QUICKYBABY'],1046.0
['POKEMON'],747.0
['XMERGHANI'],1463.0
['CLOAKZY'],2369.0
['TONIKI'],329.0
['다주 (DDA_JU)'],0.0
['AKYULIYCH'],1140.0
['HUTCHMF'],688.0
['ROLLINGSTONE'],132.0
['POKERSTARS'],472.0
['GRENHEIR'],591.0
['CSGOMC_UA'],878.0
['LENAGOL0VACH'],1264.0
['CCT_EN'],804.0
['ESL_SC2'],204.0
['MRSCHIMCHIM'],27.0
['PURPLEBIXI'],854.0
['YAYSTER'],405.0
['A_SEAGULL'],1077.0
['FPSTHAILAND'],644.0
['MONDO2244'],329.0
['ありさか (CR_ARISAKAAA)'],0.0
['RAQUEL'],271.0
['RECRENT'],1111.0
['PUNISHER'],376.0
['SIMPLY'],408.0
['NINJA'],12035.0
['MASKENISSEN'],192.0
['うめきデイジー (UMEKIDAISY1117)'],0.0
['JORGINHORP'],210.0
['KNEKRO'],1763.0
['DMITRY_LIXXX'],1680.0
['JANKOS'],1514.0
['GLORIOUS_E'],812.0
['BATALHADAALDEIA'],287.0
['R6ESPORTSBR'],835.0
['EASPORTSFIFAMOBILE'],251.0
['MISSMIKKAA'],1086.0
['HIKO'],1631.0
['MRJACKSONLIVE'],20.0
['REWINSIDE'],1450.0
['TENACITYTV'],436.0
['LOVEFORTYSIX'],634.0
['MLS'],254.0
['GALEGUINS'],922.0
['ALLMUSICCONSIDERED'],954.0
['따효니 (DDAHYONI)'],0.0
['FRONTIERDEVELOPMENTS'],249.0
['JACKEYY'],1401.0
['ROCKETLEAGUEOCE'],194.0
['DAFRAN'],1359.0
['COCONUTB'],2676.0
['BONJWA'],920.0
['ABEAUTIFULDEATH'],196.0
['MISTERMV'],1245.0
['HARUGLORY'],385.0
['NYANNERS'],1324.0
['SAFADASSO'],326.0
['THEREALMARZAA'],1430.0
['쌍베 (PACIFIC8815)'],0.0
['スタンミ (SUTANMI)'],0.0
['CHESSBRAH'],864.0
['TEAMFIGHTTACTICS'],140.0
['VIVIENDOENLACALLE'],1445.0
['STAYSAFETV'],314.0
['DUKE'],1556.0
['ZOEWRENMUSIC'],22.0
['ILTW1'],335.0
['FLORRYWORRY'],285.0
['TOMLEESE_'],164.0
['MOKRIVSKYI'],486.0
['SOLARYFORTNITE'],1785.0
['XFIBII'],933.0
['DOKTORFROID'],424.0
['SINDICS'],242.0
['JOPLAYSVIOLIN'],24.0
['FOOTBALLBROMANCE'],827.0
['LOCKLEAR'],2003.0
['TTTCHEEKYTTT'],315.0
['BLUETHUNDER'],193.0
['DARIAPSINA'],274.0
['STEPHANMR'],1146.0
['A_N_I_N_Y_A'],413.0
['DAYDREAMERDAN'],249.0
['파카9999 (PAKA9999)'],0.0
['BLIZZB3AR'],166.0
['STRAY228'],682.0
['SUMMONERSINNLIVE'],876.0
['RIOTGAMESTURKISH'],1221.0
['VEIBAE'],1591.0
['LOLIPOPGI'],158.0
['ABUGOKU9999'],377.0
['世誠 (BBBB87)'],0.0
['KARCHEZ'],1164.0
['DINABLIN'],488.0
['연초봄 (YEONCHOBOM)'],0.0
['ボドカさん (VODKAVDK)'],0.0
['SANNIHALLA'],22.0
['JACAREPEREIRA'],113.0
['ゆきお2 (YUKIOFPS14)'],0.0
['XTHESOLUTIONTV'],993.0
['UNICORNIO'],838.0
['WRECKSNOTHING'],125.0
['LUCIANPLAYSALLDAY'],5.0
['YOINTERNETO'],435.0
['MEIKODRJ'],571.0
['CAPTAINPUFFY'],2581.0
['DELEGARP'],814.0
['PGL_DOTA2EN3'],5299.0
['SEUM'],301.0
['STEEL'],918.0
['B0ATY'],705.0
['BOTEZLIVE'],2988.0
['탬탬버린 (2CHAMCHAM2)'],0.0
['TITANLOL1'],515.0
['GONCHO'],883.0
['DANECOOKGAMING'],86.0
['LUANZ7_'],1901.0
['TOWELLIEE'],1009.0
['FRANIO'],160.0
['FANHORP'],341.0
['TAKUU_'],1196.0
['ABE'],444.0
['TAMPANEVERSLEEPS'],171.0
['OHNEPIXEL'],1170.0
['FROSTPRIME_'],475.0
['HISWATTSON'],1495.0
['BOXBOX'],1836.0
['CXMMUNITY'],754.0
['TWITCH'],6886.0
['BILALKAMARIEH7'],36.0
['DYRACHYO'],284.0
['피닉스박1 (XKWHD)'],0.0
