ranking_popularity,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Partnered,Mature,Language,Esport_channel
469.0,EASPORTSFIFAMOBILE,935235.0,105.0,13791.0,8907.0,54095.0,16819.0,True,False,English,
470.0,MISSMIKKAA,37793085.0,10020.0,13769.0,3771.0,175217.0,29574.0,True,False,English,
471.0,HIKO,20524320.0,4995.0,13755.0,4108.0,1758324.0,1353.0,True,False,English,
472.0,MRJACKSONLIVE,860880.0,8115.0,13737.0,106.0,6772.0,375.0,False,False,Portuguese,
473.0,REWINSIDE,14833365.0,3900.0,13732.0,3803.0,1768277.0,19724.0,True,False,German,
474.0,TENACITYTV,5889705.0,6255.0,13694.0,941.0,234575.0,8772.0,True,False,English,
475.0,LOVEFORTYSIX,5251995.0,3705.0,13669.0,1417.0,20094.0,1844.0,True,True,English,
476.0,MLS,2336340.0,360.0,13632.0,6489.0,42683.0,1424.0,True,False,English,Yes
477.0,GALEGUINS,12902265.0,6750.0,13579.0,1911.0,429758.0,20170.0,True,False,Portuguese,
478.0,ALLMUSICCONSIDERED,5020665.0,2730.0,13551.0,1839.0,23984.0,2537.0,True,False,English,
479.0,따효니 (DDAHYONI),51320190.0,14265.0,13546.0,3597.0,363921.0,554.0,True,False,Korean,
480.0,FRONTIERDEVELOPMENTS,1809495.0,900.0,13546.0,2010.0,79197.0,671.0,False,False,English,
481.0,JACKEYY,33995760.0,5850.0,13533.0,5811.0,372310.0,8526.0,True,False,Thai,
482.0,ROCKETLEAGUEOCE,6647595.0,840.0,13476.0,7913.0,110103.0,7753.0,True,False,English,Yes
483.0,DAFRAN,34003410.0,8670.0,13465.0,3921.0,826834.0,5263.0,True,False,English,
484.0,COCONUTB,43462095.0,10980.0,13449.0,3958.0,413876.0,6751.0,True,True,English,
485.0,BONJWA,99039210.0,23985.0,13433.0,4129.0,224350.0,4661.0,True,False,German,
486.0,ABEAUTIFULDEATH,7317360.0,5100.0,13427.0,1434.0,67716.0,3432.0,True,False,Turkish,Yes
487.0,MISTERMV,20562975.0,3735.0,13398.0,5505.0,830293.0,2276.0,True,False,French,
488.0,HARUGLORY,21000210.0,8160.0,13353.0,2573.0,32428.0,3367.0,True,False,Japanese,
489.0,NYANNERS,23428215.0,3855.0,13336.0,6077.0,1001801.0,6212.0,True,True,English,
490.0,SAFADASSO,2577045.0,8145.0,13330.0,316.0,184483.0,19839.0,True,True,Portuguese,
491.0,THEREALMARZAA,35674200.0,11100.0,13329.0,3213.0,1192841.0,7853.0,True,False,Italian,
492.0,쌍베 (PACIFIC8815),33601215.0,8040.0,13279.0,4179.0,228641.0,531.0,True,False,Korean,
493.0,スタンミ (SUTANMI),22300770.0,7515.0,13274.0,2967.0,227256.0,3374.0,True,False,Japanese,
494.0,CHESSBRAH,25480740.0,13680.0,13249.0,1862.0,298771.0,6661.0,True,False,English,
495.0,TEAMFIGHTTACTICS,7358190.0,2265.0,13245.0,3248.0,143913.0,2445.0,False,False,English,
496.0,VIVIENDOENLACALLE,64557150.0,42945.0,13215.0,1503.0,205923.0,55656.0,True,False,Spanish,
497.0,STAYSAFETV,22811970.0,14475.0,13214.0,1575.0,221788.0,1721.0,True,True,English,
498.0,DUKE,7491330.0,1095.0,13203.0,6841.0,1119459.0,42540.0,True,False,English,
499.0,ZOEWRENMUSIC,3091785.0,2175.0,13188.0,1421.0,37180.0,1366.0,True,False,English,
500.0,ILTW1,12402045.0,5985.0,13175.0,2072.0,143148.0,4992.0,True,False,Russian,
501.0,FLORRYWORRY,8919615.0,5055.0,13171.0,1764.0,77033.0,373.0,True,False,English,
502.0,TOMLEESE_,3633510.0,4845.0,13161.0,749.0,155147.0,2955.0,True,False,English,
503.0,MOKRIVSKYI,7665900.0,1605.0,13140.0,4776.0,823145.0,-81344.0,False,False,Russian,
504.0,SOLARYFORTNITE,35157375.0,41220.0,13134.0,852.0,2103075.0,12998.0,True,False,French,Yes
505.0,XFIBII,29426385.0,9750.0,13121.0,3018.0,506238.0,40055.0,True,False,German,
506.0,DOKTORFROID,12937815.0,4125.0,13119.0,3136.0,233251.0,712.0,True,False,German,
507.0,SINDICS,6337590.0,6255.0,13111.0,1013.0,197404.0,6717.0,True,False,Russian,
508.0,JOPLAYSVIOLIN,4622295.0,4305.0,13078.0,1073.0,39032.0,1789.0,True,False,English,
509.0,FOOTBALLBROMANCE,10518465.0,2820.0,13056.0,3729.0,77890.0,4490.0,True,False,German,
510.0,LOCKLEAR,28441995.0,4410.0,13049.0,6449.0,1955511.0,8592.0,True,False,French,
511.0,TTTCHEEKYTTT,11034375.0,6975.0,13034.0,1581.0,117583.0,24607.0,True,False,English,
512.0,BLUETHUNDER,1609920.0,2085.0,13033.0,772.0,10079.0,324.0,True,False,English,
513.0,DARIAPSINA,2235345.0,285.0,13031.0,7843.0,197572.0,11776.0,True,False,Russian,
514.0,STEPHANMR,16927500.0,10770.0,12984.0,1571.0,171668.0,37841.0,False,False,Portuguese,
